source_id,source_magnitude,source_completeness_above_ref,source_to_end_time_distance,pos_source_to_start_time_distance,l_hat,G
3508,3.8000000000000003,0.0,15209.610416666666,5347.610416666666,1.0008301313469998,0.004321956249912125
3513,3.6,0.0,15209.297916666666,5347.297916666666,0.0022728044637162132,0.0037369046685337176
3516,3.6,0.0,15209.109027777778,5347.109027777778,0.0016135744745822088,0.003737240138946575
3519,3.7,0.0,15208.970833333333,5346.970833333334,0.0008402348270191847,0.004019721366652817
3552,3.9000000000000004,0.0,15203.579166666666,5341.579166666666,0.0031289190364204595,0.004661672416167897
3604,3.8000000000000003,0.0,15190.731944444444,5328.731944444445,0.0003383903145193284,0.004360921867710506
3645,4.0,0.0,15181.413888888888,5319.413888888889,0.0027168228419993177,0.005066829173868617
3676,4.0,0.0,15175.147916666667,5313.147916666667,0.002056241320660166,0.005081960049402716
3724,5.300000000000001,0.0,15163.875,5301.875,0.0004415129703063125,0.013163621575174067
3839,3.6,0.0,15133.60625,5271.60625,0.000731868873980653,0.0038740017994785244
3874,4.0,0.0,15122.610416666666,5260.610416666666,0.00021521265284728632,0.005210782642680495
3875,4.9,0.0,15122.515972222222,5260.515972222222,1.0065489877363023,0.010033912940142964
3886,3.6,0.0,15118.127777777778,5256.127777777778,0.0009687934354292052,0.003902707667796462
3898,6.1000000000000005,0.0,15113.460416666667,5251.460416666667,0.01882181551449308,0.02414036383441808
3917,3.9000000000000004,0.0,15113.395138888889,5251.395138888889,0.00747171247088532,0.004866268187864863
3944,3.8000000000000003,0.0,15113.254166666668,5251.254166666667,0.0051813908300777705,0.004524898420065224
3945,4.1000000000000005,0.0,15113.24375,5251.24375,0.004981259468546538,0.005629376052105973
3968,4.800000000000001,0.0,15113.104861111111,5251.104861111111,0.0065654605798259056,0.009371389869760504
3997,6.1000000000000005,0.0,15112.87986111111,5250.8798611111115,0.014694718340237122,0.02414705293487586
3998,3.9000000000000004,0.0,15112.87638888889,5250.876388888889,0.00334343604607204,0.004867473025488557
3999,5.4,0.0,15112.875,5250.875,0.009355511665068468,0.01450608381513824
4000,3.7,0.0,15112.87013888889,5250.8701388888885,0.002910934344463536,0.004207963880015015
4008,5.2,0.0,15112.852083333333,5250.852083333333,0.008195779318862412,0.01254070889048964
4010,5.300000000000001,0.0,15112.83888888889,5250.8388888888885,0.01253801925595401,0.013487803928481663
4038,5.9,0.0,15112.724305555555,5250.7243055555555,0.05717719099851523,0.020876780681471713
4039,5.2,0.0,15112.722222222223,5250.722222222223,0.03651369525223659,0.012541486106808086
4041,3.6,0.0,15112.714583333332,5250.714583333333,0.0012939079690889696,0.0039128015396143875
4047,3.6,0.0,15112.680555555555,5250.680555555556,0.005879950344542868,0.0039128650805921
4048,3.9000000000000004,0.0,15112.670138888889,5250.670138888889,0.003588612012214429,0.004867952147806113
4060,3.7,0.0,15112.632638888888,5250.632638888889,0.0016345691445887245,0.004208440846828331
4068,3.8000000000000003,0.0,15112.579166666666,5250.579166666666,0.002392987269498052,0.004526356251611251
4088,3.7,0.0,15112.40625,5250.40625,0.0004318564727232683,0.0042088955543586925
4108,3.6,0.0,15112.280555555555,5250.280555555555,0.0002757928269151086,0.003913612095740149
4110,5.7,0.0,15112.266666666666,5250.266666666666,1.00694665697497,0.018052008689985972
4115,3.8000000000000003,0.0,15112.214583333332,5250.214583333333,0.005334130442466601,0.004527143873924971
4117,3.7,0.0,15112.201388888889,5250.201388888889,0.0019207086136980396,0.004209307069064798
4131,5.5,0.0,15111.953472222222,5249.953472222222,0.0214373563970628,0.015608371828745358
4138,3.6,0.0,15111.749305555555,5249.749305555555,0.003961729321229795,0.003914604465991134
4210,3.7,0.0,15109.831944444444,5247.831944444444,0.005995587517343512,0.004214069883969907
4211,3.6,0.0,15109.826388888889,5247.826388888889,0.0051528133638084166,0.0039181987549818205
4229,3.7,0.0,15109.3625,5247.3625,0.0018568326603306286,0.004215014211438471
4298,3.9000000000000004,0.0,15108.034722222223,5246.034722222223,0.0015138928399025993,0.004878733896957632
4304,3.9000000000000004,0.0,15107.855555555556,5245.855555555556,0.005062796964748667,0.004879151152817154
