id,latitude,longitude,magnitude,time,catalog_id
5907,24.747179435075104,97.93484594237277,3.5,2013-01-08 14:55:27.957998199,107
5907,30.831424075941936,103.38174007344597,4.1,2013-01-08 13:48:07.963923829,111
5908,30.831715950381888,103.3817735502986,3.4,2013-01-08 13:49:35.014069210,111
5908,30.6085810079679,103.14572294470963,3.8,2013-01-08 19:40:33.594868000,114
5909,30.608163060486547,103.14601687570988,3.8,2013-01-08 20:03:18.274872535,114
5910,30.599780152377445,103.15467027768007,3.6,2013-01-08 20:03:54.856737744,114
5907,27.820441605310023,100.67008156028022,3.5,2013-01-08 19:03:42.886796758,121
5908,29.319824530051736,105.23003183859097,3.8,2013-01-08 09:44:48.660726464,121
5908,31.67832039181609,103.55950488120796,4.6,2013-01-08 12:55:05.344097000,122
5908,25.873037074975553,102.17773165060623,3.6,2013-01-08 10:31:44.246959000,125
5907,26.858032276471466,100.56681730453077,3.9,2013-01-08 08:05:44.845739692,129
5907,27.52239495967476,103.97492310586259,4.5,2013-01-08 12:13:28.659590282,139
5908,29.495896625437158,101.0510036413173,3.6,2013-01-08 03:56:53.511867000,145
5909,28.677942242822215,103.72921563410688,3.8,2013-01-08 19:50:20.515983000,145
5908,24.6421595034522,98.61985756815939,4.4,2013-01-08 07:11:32.010107000,147
5908,29.29812686162075,103.24631915168712,4.2,2013-01-08 01:21:07.424164000,152
5908,31.427266227366083,97.56230494371557,3.8,2013-01-08 03:24:39.206917000,155
5909,31.20317607680768,103.48381253720662,3.4,2013-01-08 06:14:45.182025346,155
5908,27.413434548071407,104.28079186476599,3.6,2013-01-08 16:26:19.792147000,156
5908,23.77190948216948,100.3939423231109,3.4,2013-01-08 07:49:59.654583000,163
5908,28.878116122884393,102.68734860947414,4.2,2013-01-08 03:44:36.875581000,164
5907,30.72002066868946,103.3700231466037,3.5,2013-01-08 11:10:13.854344735,167
5908,30.719348261464432,103.36973309806571,3.6,2013-01-08 11:11:19.816749503,167
5907,31.27670744875669,103.77598675108302,3.6,2013-01-08 09:04:57.699928586,174
5907,28.6702044948168,104.96982838094989,4.1,2013-01-08 20:42:16.167942614,175
5908,27.750427282545367,102.47353903869408,4.1,2013-01-08 02:31:00.990136000,178
5908,29.981427855355385,102.49863005669633,4.2,2013-01-08 04:25:16.629672000,180
5907,29.32031357976654,105.22971783121508,3.8,2013-01-08 12:46:25.397794262,181
5907,24.765906880170878,97.95877382105954,3.6,2013-01-08 03:37:24.241720144,193
5907,31.26999902392141,103.67978250760046,4.6,2013-01-08 03:27:35.201305327,207
5907,31.849878841443438,104.17982324303225,4.5,2013-01-08 01:05:51.942275102,210
5907,27.520103496731355,103.97063764349458,4.3,2013-01-08 21:00:53.991464845,212
5907,29.85983748780981,103.24826264445154,3.4,2013-01-08 22:43:42.170547320,217
5907,31.299773477218626,103.40027136293742,3.9,2013-01-08 02:39:25.142469010,219
5908,31.299678574428277,103.40015299901603,3.4,2013-01-08 02:59:49.062930745,219
5907,25.594325935379988,101.30713081487457,3.4,2013-01-08 00:12:23.333163164,220
5908,22.938392595626933,102.36461346986168,3.6,2013-01-08 07:15:26.953166000,227
5907,30.22016493851399,101.67993948887704,3.9,2013-01-08 17:35:48.019795520,232
5908,25.01829838040143,99.40943662659926,4.0,2013-01-08 08:58:39.609533000,235
5909,24.999967062580442,98.70001597791897,3.6,2013-01-08 18:12:25.387569099,235
5907,29.799763380029496,103.88401316625242,3.5,2013-01-08 15:37:10.668242875,243
5907,27.02999378897941,102.75007976268172,5.3,2013-01-08 10:42:38.398454173,244
5908,31.604884709388052,98.80820174352272,3.9,2013-01-08 01:58:11.106063000,245
5907,28.679749785089385,100.16430709253986,4.1,2013-01-08 01:56:21.851805923,250
5908,28.6995182808293,100.19606837514989,4.1,2013-01-08 02:51:11.532814046,250
5907,31.0000629037879,103.4004007563777,3.6,2013-01-08 17:36:38.231473440,255
5908,26.170272954812894,102.97586040886877,3.6,2013-01-08 04:14:08.625639000,259
5907,31.269458054300934,103.2295344365062,3.4,2013-01-08 03:55:31.871557008,267
5907,29.24596745967347,105.12519918540048,3.6,2013-01-08 22:08:18.773667431,268
5907,26.099908097623935,105.30008305019668,5.3,2013-01-08 09:55:20.080255949,269
5908,22.33077390948653,100.74705915310116,3.4,2013-01-08 05:38:18.844177000,270
