source_id,source_magnitude,source_completeness_above_ref,source_to_end_time_distance,pos_source_to_start_time_distance,l_hat,G
3256,3.3000000000000003,0.0,15221.2375,5359.2375,1.0053841905315024,0.014840032218877608
3260,3.5,0.0,15220.2125,5358.2125,0.015479729651437759,0.017163851094763136
3264,3.6,0.0,15219.673611111111,5357.673611111111,0.00568143163350908,0.018458994874085092
3265,3.4000000000000004,0.0,15219.627777777778,5357.627777777778,0.009395567339107937,0.015964838515898888
3266,3.4000000000000004,0.0,15219.52638888889,5357.5263888888885,0.00324768364035031,0.01596531321522838
3267,3.3000000000000003,0.0,15218.341666666667,5356.341666666666,0.003906714926406251,0.01485264017360693
3308,3.3000000000000003,0.0,15217.859722222222,5355.859722222222,0.01722099590742532,0.014854739725086117
3317,3.3000000000000003,0.0,15217.80763888889,5355.8076388888885,0.017221218193427274,0.01485496664321386
3318,3.2,0.0,15217.795833333334,5355.795833333334,0.016151994676128614,0.013814924200188266
3353,3.6,0.0,15216.955555555556,5354.955555555555,0.0044161550742038555,0.018473715598910985
3388,3.2,0.0,15216.56875,5354.56875,0.005254668963373778,0.013819897212289198
3395,3.8000000000000003,0.0,15216.0625,5354.0625,0.006708393711313057,0.02136571212109461
3405,3.4000000000000004,0.0,15215.934722222222,5353.934722222222,0.020499178042046918,0.01598214022492652
3407,3.3000000000000003,0.0,15215.925,5353.925,0.01917633401019385,0.014863171774572944
3408,3.3000000000000003,0.0,15215.87013888889,5353.8701388888885,0.002377532425029599,0.014863410958179462
3420,3.4000000000000004,0.0,15215.829861111111,5353.829861111111,0.0025680846322700904,0.015982631820861952
3430,3.4000000000000004,0.0,15215.520138888889,5353.520138888889,0.003241401114891503,0.01598408392556383
3441,3.5,0.0,15214.507638888888,5352.507638888889,0.004195893133823693,0.0171925944487314
