id,latitude,longitude,magnitude,time,catalog_id
26100,24.670148273550677,99.17973532448556,3.0,2013-01-08 14:37:10.195104530,19
26101,29.32027538072627,105.242053663425,2.8,2013-01-08 11:44:18.193108858,19
26099,30.770009528997715,103.32995889645781,2.8,2013-01-08 22:10:31.059124813,21
26099,24.54598964903614,98.24552353081744,2.8,2013-01-08 16:34:41.664452159,22
26099,31.47092704734368,105.1816347448464,3.0,2013-01-08 16:04:51.719966561,23
26100,31.27947856633788,103.51986003938164,2.9,2013-01-08 04:21:05.896456314,23
26100,32.661489081404945,103.09622012906534,3.8,2013-01-08 23:48:36.896409000,24
26101,32.42988427273287,105.02003096028096,3.8,2013-01-08 17:52:45.393784556,24
26100,24.232897847419864,103.82490821010943,3.8,2013-01-08 00:10:21.429676000,25
26099,31.099767724221376,103.56944555198821,3.0,2013-01-08 09:03:49.732521645,26
26100,28.77215809659838,99.18391076078407,3.2,2013-01-08 10:50:24.575144000,27
26101,23.654262406332393,97.92493702765401,3.3,2013-01-08 19:00:22.716490000,27
26102,28.766389950731163,99.16661524417117,3.0,2013-01-08 11:57:33.586692159,27
26103,28.762270337665278,99.16383826644147,2.8,2013-01-08 14:57:58.363141943,27
26100,22.979599132443507,99.10745050035315,3.8,2013-01-08 03:23:19.136429000,28
26101,22.97945880983059,99.10732388710191,2.9,2013-01-08 03:24:10.829495069,28
26102,27.567796302234058,103.9850347303959,3.7,2013-01-08 03:53:29.518891341,28
26100,23.170373809131625,104.14232978030327,2.8,2013-01-08 05:09:53.736514000,29
26100,30.43803604430114,106.30603682034295,3.6,2013-01-08 09:02:46.959671000,30
26101,30.438110680189457,106.30599888485607,3.1,2013-01-08 09:04:28.046538460,30
26100,21.736501802783337,98.94232078907261,3.5,2013-01-08 07:35:43.720079000,31
26100,27.093628610931358,106.05254607920087,3.1,2013-01-08 16:20:44.609499000,32
26101,31.380107665054982,103.92004262782157,3.4,2013-01-08 23:11:48.048507034,32
26102,32.01965472210779,104.4696645100714,3.0,2013-01-08 23:27:46.759474156,32
26100,26.496085719115253,100.55180666016331,3.0,2013-01-08 07:52:52.097976000,33
26100,23.03192466636253,104.14892510878454,3.1,2013-01-08 21:37:37.916860000,34
26101,23.032071011867682,104.14885726210564,3.2,2013-01-08 22:56:26.327769628,34
26099,32.4989902444701,104.97978195128435,3.1,2013-01-08 10:33:52.838397040,35
26100,29.320006011341228,105.21994130316965,2.8,2013-01-08 17:23:51.761769655,35
26099,31.81998981798803,104.0800137062948,2.9,2013-01-08 11:34:20.087266169,36
26099,25.027410576094148,99.01661908194829,2.9,2013-01-08 07:34:38.498820144,39
26099,24.769999009987394,97.94992253321891,2.9,2013-01-08 10:31:44.638248328,41
26100,30.53640171284647,96.58986644592609,3.6,2013-01-08 08:00:52.646103000,43
26101,24.44514515144132,104.1875847294574,2.9,2013-01-08 08:17:46.716025000,43
26102,29.699760351951145,98.77028784040664,4.3,2013-01-08 06:34:16.155045528,43
26103,29.739184179048063,98.82536326842491,3.0,2013-01-08 08:03:37.781975936,43
26100,32.74805506967423,103.71372591905288,3.3,2013-01-08 10:42:27.930397000,44
26101,25.12993613213352,97.99995465071375,3.2,2013-01-08 05:41:19.022718939,44
26100,29.929953205275844,103.19914162623573,3.3,2013-01-08 01:15:11.229380592,45
26101,29.935355422429268,103.19984586269271,2.8,2013-01-08 02:26:23.484340767,45
26100,26.37951122502677,102.3218028969289,3.4,2013-01-08 00:30:27.682662000,46
26101,31.541165545501258,99.75752109557232,2.8,2013-01-08 01:05:06.945454810,46
